Age (ka),Insolation (W/m^2)
1411,502.9403364
1412,500.6310423
1413,497.7691566
1414,494.1604388
1415,489.7935078
1416,484.7492288
1417,479.2548662
1418,473.6269173
1419,468.2805156
1420,463.628404
1421,460.1154632
1422,458.1659143
1423,458.183436
1424,460.5041217
1425,465.307574
1426,472.5030308
1427,481.6577752
1428,491.9223892
1429,502.0775704
1430,510.6958038
1431,516.5721701
1432,519.0014818
1433,517.9447067
1434,513.9661792
1435,507.9564011
1436,500.7925992
1437,493.2266449
1438,485.7689924
1439,478.8220104
1440,472.7023632
1441,467.7749717
1442,464.4760437
1443,463.3720291
1444,465.0426313
1445,470.0155296
1446,478.5920826
1447,490.6087865
1448,505.3159082
1449,521.0451374
1450,535.5030531
1451,546.1349438
1452,551.0520022
1453,549.5833366
1454,542.4681535
1455,531.3058252
1456,517.9400703
1457,503.8507431
1458,490.0379416
1459,477.0387528
1460,465.1956671
1461,454.7722887
1462,446.1038486
1463,439.6756464
1464,436.0574568
1465,435.9195281
1466,439.7813175
1467,447.9765714
1468,460.2911572
1469,475.7886774
1470,492.6524217
1471,508.3644499
1472,520.4036308
1473,527.0183174
1474,527.8232838
1475,523.8000224
1476,516.5836173
1477,507.7979007
1478,498.7229555
1479,490.1068724
1480,482.3888126
1481,475.8153031
1482,470.5789754
1483,466.937664
1484,465.1996088
1485,465.769719
1486,468.9227613
1487,474.8481551
1488,483.4072721
1489,494.0578563
1490,505.7357136
1491,517.029993
1492,526.3552105
1493,532.3410914
1494,534.2596611
1495,532.1088886
1496,526.5911376
1497,518.6619186
1498,509.4234732
1499,499.7621913
1500,490.3823593
1501,481.8542449
1502,474.5865421
1503,468.8994866
1504,465.0804567
1505,463.3317148
1506,463.6958344
1507,466.0628714
1508,470.0963871
1509,475.2395871
1510,480.7627447
1511,485.9440512
1512,490.168791
1513,493.0442173
1514,494.5317261
1515,494.7857578
1516,494.189382
1517,493.1738305
1518,492.1333249
1519,491.4597496
1520,491.4382259
1521,492.3249746
1522,494.1790929
1523,496.995415
1524,500.5799353
1525,504.5361744
1526,508.3573275
1527,511.4246871
1528,513.167009
1529,513.2210409
1530,511.4016727
1531,507.8544419
1532,502.8830598
1533,496.9925092
1534,490.674148
1535,484.4135513
1536,478.726017
1537,474.0485439
1538,470.8156366
1539,469.423037
1540,470.1827714
1541,473.2361538
1542,478.4708184
1543,485.4381598
1544,493.3070286
1545,500.9200017
1546,507.0779627
1547,510.7246134
1548,511.3146618
1549,508.9646544
1550,504.2116806
1551,497.886688
1552,490.8074445
1553,483.6580692
1554,477.0093469
1555,471.2965867
1556,466.8681475
1557,464.1400123
1558,463.4821089
1559,465.2492098
1560,469.6895206
1561,476.8312296
1562,486.3395543
1563,497.4536975
1564,508.9784748
1565,519.4091361
1566,527.3309513
1567,531.7147171
1568,532.2080809
1569,529.1940796
1570,523.4568034
1571,515.9640226
1572,507.5815367
1573,498.9971385
1574,490.7668552
1575,483.2758053
1576,476.9015352
1577,472.0141052
1578,468.9413291
1579,468.0012889
1580,469.3703171
1581,472.9970007
1582,478.5268313
1583,485.2713124
1584,492.2086268
1585,498.1690911
1586,502.1152989
1587,503.4244059
1588,501.9905313
1589,498.2303451
1590,492.8755958
1591,486.7382104
1592,480.54588
1593,474.8872296
1594,470.2424602
1595,467.0062516
1596,465.4726666
1597,465.929662
1598,468.5808542
1599,473.5005106
1600,480.5430038
1601,489.2882756
1602,499.0070062
1603,508.6596702
1604,517.1292198
1605,523.4267904
1606,526.8666728
1607,527.2792384
1608,524.942758
1609,520.3889609
1610,514.3340651
1611,507.4325967
1612,500.2804531
1613,493.3581554
1614,487.0923162
1615,481.9100924
1616,478.2310125
1617,476.4141826
1618,476.7752652
1619,479.4183463
1620,484.185356
1621,490.5758742
1622,497.6493821
1623,504.184404
1624,508.9731846
1625,511.0152034
1626,509.8781841
1627,505.805733
1628,499.4683212
1629,491.785388
1630,483.5951025
1631,475.6248031
1632,468.3897745
1633,462.3224102
1634,457.8182766
1635,455.2615274
1636,454.9855483
1637,457.338108
1638,462.5141909
1639,470.404767
1640,480.5776232
1641,492.1478698
1642,503.8020789
1643,514.0602535
1644,521.5673332
1645,525.5468726
1646,525.8603445
1647,523.0347685
1648,517.9270961
1649,511.4670477
1650,504.4581885
1651,497.5221616
1652,491.1068723
1653,485.5769703
1654,481.2677185
1655,478.4361809
1656,477.3454789
1657,478.1545618
1658,480.8680487
1659,485.2812374
1660,490.8955168
1661,497.0321333
1662,502.7896149
1663,507.321213
1664,509.9810135
1665,510.4327921
1666,508.7483585
1667,505.3281638
1668,500.6938906
1669,495.4857632
1670,490.226555
1671,485.4094439
1672,481.390427
1673,478.4441499
